H (A/m)	        M (A/m)	        I (A)	        B (T)
1875,126955	271075,6004	1,968843926	0,343
1845,446604	270309,5061	1,937680181	0,342
1829,958843	269529,2191	1,921418357	0,341
1817,05328	267950,5753	1,907867787	0,339
1811,891598	267955,7369	1,902448129	0,339
1800,278492	267171,5753	1,890254612	0,338
1798,986035	266377,0931	1,888897559	0,337
1784,790731	266391,2884	1,873992787	0,337
1797,696294	266378,3828	1,887543357	0,337
1783,500989	266392,5781	1,872638586	0,337
1770,595426	265609,709	1,859088016	0,336
1770,595426	264813,9343	1,859088016	0,335
1764,141287	264820,3884	1,852311305	0,335
1755,107665	264829,422	1,842826192	0,335
1748,656241	264040,0987	1,836052332	0,334
1743,494559	264045,2604	1,830632674	0,334
1747,366499	264041,3885	1,83469813	0,334
1728,006798	263264,9735	1,81437085	0,333
1718,973175	263274,0071	1,804885736	0,333
1695,744248	262501,4613	1,780495851	0,332
1697,036705	261704,3941	1,781852903	0,331
1694,454507	260911,2016	1,779141649	0,33
1680,259202	260925,3969	1,764236877	0,33
1681,548944	260128,3324	1,765591079	0,329
1666,063898	260143,8175	1,749332106	0,329
1657,030275	259357,0764	1,739846992	0,328
1657,030275	258561,3017	1,739846992	0,327
1650,576136	258567,7558	1,733070281	0,327
1629,929408	257792,6278	1,71139165	0,326
1629,929408	257792,6278	1,71139165	0,326
1613,151905	256217,8559	1,693775624	0,324
1607,990223	256223,0176	1,688355967	0,324
1592,502461	256238,5053	1,672094142	0,324
1587,340779	255447,8923	1,666674485	0,323
1586,051037	255449,1821	1,665320283	0,323
1573,145475	255462,0876	1,651769713	0,323
1557,660428	253886,0232	1,63551074	0,321
1540,882925	253107,026	1,617894714	0,32
1547,334349	253100,5746	1,624668573	0,32
1549,916548	253097,9924	1,627379827	0,32
1522,81568	252329,3186	1,598924486	0,319
1508,620376	250751,9644	1,584019714	0,317
1507,327919	250753,2569	1,582662662	0,317
1499,586753	250760,998	1,5745346	0,317
1509,910118	250750,6747	1,585373916	0,317
1462,159807	250002,6503	1,535237092	0,316
1386,018887	243712,5935	1,455290726	0,308
1360,210477	242146,8525	1,428192437	0,306
1343,432974	241367,8552	1,410576411	0,305
1327,945212	239791,7936	1,394314586	0,303
1313,749908	239010,2142	1,379409815	0,302
1289,231239	238238,9581	1,353665728	0,301
1291,810722	237440,6039	1,356374131	0,3
1260,837915	235880,0273	1,323853333	0,298
1253,096749	235091,9937	1,315725272	0,297
1246,64261	234302,6732	1,308948562	0,296
1237,608988	233515,9321	1,299463448	0,295
1209,218379	231952,7733	1,269653905	0,293
1204,056697	231162,1602	1,264234247	0,292
1191,151134	230379,2911	1,250683677	0,291
1173,083889	229601,5836	1,231713449	0,29
1165,340008	228813,5528	1,223582537	0,289
1171,794147	228807,0986	1,230359248	0,289
1164,050267	228019,0678	1,222228335	0,288
1121,461638	224878,5576	1,17751117	0,284
1109,848532	224094,3959	1,165317652	0,283
1093,071029	223315,3987	1,147701626	0,282
1098,232711	222514,4623	1,153121284	0,281
1080,165466	222532,5296	1,134151056	0,281
1068,55236	221748,368	1,121957539	0,28
1081,457923	220939,6877	1,135508109	0,279
1054,357056	220171,0138	1,107052768	0,278
1045,320718	219384,2755	1,097564803	0,277
1053,064599	218580,7569	1,105695715	0,276
1023,384248	217814,6625	1,07453197	0,275
1020,80205	217021,47	1,071820716	0,274
1013,058169	217029,2139	1,063689803	0,274
1005,317003	216241,1803	1,055561742	0,273
993,7011823	214661,2467	1,043365374	0,271
993,7011823	214661,2467	1,043365374	0,271
989,8292419	214665,1186	1,039299918	0,271
983,3778181	214671,5701	1,032526059	0,271
989,8292419	214665,1186	1,039299918	0,271
